,Learner,Method,PEHE,CATE true mean,CATE true var,Normalized PEHE
0,DRLearner,htce,0.045684742852836656,2.134321015960336,0.28258289095177624,0.08594057455000753
1,TARNet,htce,0.11573009662429483,2.134321015960336,0.28258289095177624,0.21770749654120516
2,TLearner,htce,0.08774367055421955,2.134321015960336,0.28258289095177624,0.1650603897420862
3,SLearner,htce,0.09893606462295529,2.134321015960336,0.28258289095177624,0.186115138369122
4,DRLearner,target,0.5096217012868013,2.134321015960336,0.28258289095177624,0.9586829010469204
5,TARNet,target,0.3438250334633737,2.134321015960336,0.28258289095177624,0.6467918844525831
6,TLearner,target,0.4348739914164659,2.134321015960336,0.28258289095177624,0.8180700677155182
7,SLearner,target,0.562657490786524,2.134321015960336,0.28258289095177624,1.0584520129362396
8,DRLearner,radial_gan,0.25555363045556856,2.134321015960336,0.28258289095177624,0.4807387424821233
9,TARNet,radial_gan,0.4929079706733262,2.134321015960336,0.28258289095177624,0.9272416030971191
10,TLearner,radial_gan,0.4506305491798725,2.134321015960336,0.28258289095177624,0.8477107648620376
11,SLearner,radial_gan,0.4266373491522373,2.134321015960336,0.28258289095177624,0.8025755782131716
12,DRLearner,shared_source_target,1.147179116481963,2.134321015960336,0.28258289095177624,2.1580340880939928
13,TARNet,shared_source_target,1.1353861503948492,2.134321015960336,0.28258289095177624,2.13584956394246
14,TLearner,shared_source_target,1.1873989369984448,2.134321015960336,0.28258289095177624,2.233694237799093
15,SLearner,shared_source_target,1.1652570166807044,2.134321015960336,0.28258289095177624,2.1920416151745803
